Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,Country Name
Alabama,US,2020-03-18T19:33:03,46,0,0,32.3182,-86.9023,US
Alaska,US,2020-03-18T05:53:25,6,0,0,61.3707,-152.4044,US
Arizona,US,2020-03-18T19:33:03,27,0,0,33.7298,-111.4312,US
Arkansas,US,2020-03-18T19:33:03,33,0,0,34.9697,-92.3731,US
California,US,2020-03-18T19:14:34,751,13,0,36.1162,-119.6816,US
Colorado,US,2020-03-18T15:53:09,184,2,0,39.0598,-105.3111,US
Connecticut,US,2020-03-17T23:13:10,68,0,0,41.5978,-72.7554,US
Delaware,US,2020-03-18T19:33:03,19,0,0,39.3185,-75.5071,US
Diamond Princess,US,2020-03-16T16:53:06,47,0,0,35.4437,139.638,US
District of Columbia,US,2020-03-18T05:53:25,31,0,0,38.8974,-77.0268,US
Florida,US,2020-03-18T19:14:34,314,7,0,27.7663,-81.6868,US
Georgia,US,2020-03-18T19:14:34,199,3,0,33.0406,-83.6431,US
Grand Princess,US,2020-03-17T20:53:02,21,0,0,37.6489,-122.6655,US
Guam,US,2020-03-18T05:53:25,5,0,0,13.4443,144.7937,US
Hawaii,US,2020-03-18T05:53:25,14,0,0,21.0943,-157.4983,US
Idaho,US,2020-03-18T05:53:25,9,0,0,44.2405,-114.4788,US
Illinois,US,2020-03-18T19:14:34,162,1,0,40.3495,-88.9861,US
Indiana,US,2020-03-18T19:33:03,39,2,0,39.8494,-86.2583,US
Iowa,US,2020-03-18T05:53:25,29,0,0,42.0115,-93.2105,US
Kansas,US,2020-03-17T23:13:10,18,1,0,38.5266,-96.7265,US
Kentucky,US,2020-03-18T14:13:56,27,1,0,37.6681,-84.6701,US
Louisiana,US,2020-03-18T19:33:03,257,4,0,31.1695,-91.8678,US
Maine,US,2020-03-18T19:33:03,42,0,0,44.6939,-69.3819,US
Maryland,US,2020-03-18T19:14:34,85,0,0,39.0639,-76.8021,US
Massachusetts,US,2020-03-18T14:13:56,218,0,0,42.2302,-71.5301,US
Michigan,US,2020-03-18T19:14:34,83,0,0,43.3266,-84.5361,US
Minnesota,US,2020-03-18T19:14:34,77,0,0,45.6945,-93.9002,US
Mississippi,US,2020-03-18T19:33:03,34,0,0,32.7416,-89.6787,US
Missouri,US,2020-03-18T19:33:03,18,0,0,38.4561,-92.2884,US
Montana,US,2020-03-18T19:33:03,11,0,0,46.9219,-110.4544,US
Nebraska,US,2020-03-18T13:53:03,24,0,0,41.1254,-98.2681,US
Nevada,US,2020-03-18T19:14:34,55,1,0,38.3135,-117.0554,US
New Hampshire,US,2020-03-17T23:13:10,26,0,0,43.4525,-71.5639,US
New Jersey,US,2020-03-18T14:13:56,267,3,0,40.2989,-74.521,US
New Mexico,US,2020-03-17T23:13:10,23,0,0,34.8405,-106.2485,US
New York,US,2020-03-18T19:33:03,2495,16,0,42.1657,-74.9481,US
North Carolina,US,2020-03-18T19:14:34,70,0,0,35.6301,-79.8064,US
North Dakota,US,2020-03-18T19:33:03,6,0,0,47.5289,-99.784,US
Ohio,US,2020-03-18T19:14:34,86,0,0,40.3888,-82.7649,US
Oklahoma,US,2020-03-17T17:53:03,19,0,0,35.5653,-96.9289,US
Oregon,US,2020-03-18T13:53:03,68,2,0,44.572,-122.0709,US
Pennsylvania,US,2020-03-18T19:14:34,152,0,0,40.5908,-77.2098,US
Puerto Rico,US,2020-03-16T00:22:11,5,0,0,18.2208,-66.5901,US
Rhode Island,US,2020-03-18T19:33:03,33,0,0,41.6809,-71.5118,US
South Carolina,US,2020-03-17T23:13:10,47,1,0,33.8569,-80.945,US
South Dakota,US,2020-03-17T23:33:02,11,1,0,44.2998,-99.4388,US
Tennessee,US,2020-03-18T19:14:34,79,0,0,35.7478,-86.6923,US
Texas,US,2020-03-18T19:53:03,173,3,0,31.0545,-97.5635,US
United States Virgin Islands,US,2020-03-18T00:13:13,2,0,0,18.35,-64.933,US
US,US,2020-03-18T19:33:03,1,0,106,37.0902,-95.7129,undefined
Utah,US,2020-03-17T20:53:02,51,0,0,40.15,-111.8624,US
Vermont,US,2020-03-18T19:33:03,18,0,0,44.0459,-72.7107,US
Virgin Islands,US,2020-03-17T20:53:02,2,0,0,18.3358,-64.8963,US
Virginia,US,2020-03-18T19:53:03,77,2,0,37.7693,-78.17,US
Washington,US,2020-03-18T14:13:56,1014,55,0,47.4009,-121.4905,US
West Virginia,US,2020-03-17T23:33:02,1,0,0,38.4912,-80.9545,undefined
Wisconsin,US,2020-03-18T19:14:34,92,0,0,44.2685,-89.6165,US
Wyoming,US,2020-03-18T13:53:03,15,0,0,42.756,-107.3025,US
